variant,reps,group,scenario,seed,transaction_cost_bps,path_bootstrap_robust_min_p05,case_slack,breach,mean_test_relative
v28d_sig02,300,curated,altseed_b20_s5252,17,25.0,-0.004494920935807239,0.002505079064192761,False,0.005896244043710386
v28d_sig02,300,curated,altseed_b20_s5252,29,18.0,-0.004927833551085453,0.0020721664489145473,False,0.006323462816354741
v28d_sig02,300,curated,altseed_b20_s5252,29,22.0,-0.005477333513270865,0.001522666486729135,False,0.006079300810590382
v28d_sig02,300,curated,altseed_b20_s5252,29,25.0,-0.005657890362343925,0.0013421096376560748,False,0.005896244043710386
v28d_sig02,300,curated,altblock_b16_s4242,5,18.0,-0.006271932781311096,0.0007280672186889044,False,0.006323462816354741
v28d_sig02,300,curated,altblock_b16_s4242,5,22.0,-0.006583189883013351,0.00041681011698664876,False,0.006079300810590382
v28d_sig02,300,curated,altblock_b16_s4242,5,25.0,-0.006816571398462894,0.00018342860153710595,False,0.005896244043710386
v28d_sig02,300,curated,altblock_b16_s4242,17,18.0,-0.004712711324321983,0.002287288675678017,False,0.006323462816354741
v28d_sig02,300,curated,altblock_b16_s4242,17,22.0,-0.005063589759196169,0.0019364102408038313,False,0.006079300810590382
v28d_sig02,300,curated,altblock_b16_s4242,17,25.0,-0.005424992336981765,0.0015750076630182347,False,0.005896244043710386
v28d_sig02,300,curated,altblock_b16_s4242,29,18.0,-0.004984529253563463,0.002015470746436537,False,0.006323462816354741
v28d_sig02,300,curated,altblock_b16_s4242,29,22.0,-0.005608994792883293,0.0013910052071167073,False,0.006079300810590382
v28d_sig02,300,curated,altblock_b16_s4242,29,25.0,-0.006112930752708489,0.0008870692472915109,False,0.005896244043710386
v28d_sig02,300,curated,altblock_b24_s4242,5,18.0,-0.0025882134109467157,0.0044117865890532845,False,0.006323462816354741
v28d_sig02,300,curated,altblock_b24_s4242,5,22.0,-0.00269157871628522,0.004308421283714781,False,0.006079300810590382
v28d_sig02,300,curated,altblock_b24_s4242,5,25.0,-0.0028434169262664673,0.004156583073733533,False,0.005896244043710386
v28d_sig02,300,curated,altblock_b24_s4242,17,18.0,-0.002542867393582365,0.004457132606417636,False,0.006323462816354741
v28d_sig02,300,curated,altblock_b24_s4242,17,22.0,-0.0029034414407749674,0.004096558559225033,False,0.006079300810590382
v28d_sig02,300,curated,altblock_b24_s4242,17,25.0,-0.0032051393075042955,0.0037948606924957046,False,0.005896244043710386
v28d_sig02,300,curated,altblock_b24_s4242,29,18.0,-0.002968268561286641,0.004031731438713359,False,0.006323462816354741
v28d_sig02,300,curated,altblock_b24_s4242,29,22.0,-0.003129953580195271,0.003870046419804729,False,0.006079300810590382
v28d_sig02,300,curated,altblock_b24_s4242,29,25.0,-0.0035274833812131423,0.003472516618786858,False,0.005896244043710386
v28d_sig02,300,curated,altboth_b24_s6060,5,18.0,-0.003120625040267283,0.003879374959732717,False,0.006323462816354741
v28d_sig02,300,curated,altboth_b24_s6060,5,22.0,-0.003615237466890142,0.0033847625331098583,False,0.006079300810590382
v28d_sig02,300,curated,altboth_b24_s6060,5,25.0,-0.003992135909528255,0.0030078640904717454,False,0.005896244043710386
v28d_sig02,300,curated,altboth_b24_s6060,17,18.0,-0.002574806908158594,0.004425193091841406,False,0.006323462816354741
v28d_sig02,300,curated,altboth_b24_s6060,17,22.0,-0.0029498809848818026,0.004050119015118198,False,0.006079300810590382
v28d_sig02,300,curated,altboth_b24_s6060,17,25.0,-0.0032963844369187202,0.00370361556308128,False,0.005896244043710386
v28d_sig02,300,curated,altboth_b24_s6060,29,18.0,-0.004763160950727113,0.002236839049272887,False,0.006323462816354741
v28d_sig02,300,curated,altboth_b24_s6060,29,22.0,-0.005189308834556405,0.0018106911654435951,False,0.006079300810590382
v28d_sig02,300,curated,altboth_b24_s6060,29,25.0,-0.00539036455315865,0.0016096354468413503,False,0.005896244043710386
v28d_sig02,300,curated,deepcheck_b12_s8080,5,18.0,-0.004874438043192008,0.002125561956807992,False,0.006323462816354741
v28d_sig02,300,curated,deepcheck_b12_s8080,5,22.0,-0.005334742381510443,0.0016652576184895572,False,0.006079300810590382
v28d_sig02,300,curated,deepcheck_b12_s8080,5,25.0,-0.00572255231456526,0.0012774476854347403,False,0.005896244043710386
v28d_sig02,300,curated,deepcheck_b12_s8080,17,18.0,-0.0047292570751697955,0.0022707429248302047,False,0.006323462816354741
v28d_sig02,300,curated,deepcheck_b12_s8080,17,22.0,-0.0049143753625112245,0.0020856246374887756,False,0.006079300810590382
v28d_sig02,300,curated,deepcheck_b12_s8080,17,25.0,-0.0051296346655089085,0.0018703653344910916,False,0.005896244043710386
v28d_sig02,300,curated,deepcheck_b12_s8080,29,18.0,-0.004892230351821935,0.002107769648178065,False,0.006323462816354741
