variant,path_bootstrap_reps,group,scenario,seed,transaction_cost_bps,path_bootstrap_robust_min_p05,case_slack,breach,mean_test_relative,robust_min_test_relative,mean_turnover,mean_executed_step_rate,worst_daily_relative_return,worst_relative_drawdown
v25w_n8,600,curated,altblock_b24_s4242,5,25,-0.003868262058555721,0.003131737941444279,False,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879
v25w_n8,600,curated,altblock_b24_s4242,17,18,-0.003397532566603162,0.003602467433396838,False,0.0056353268937137544,0.00340943238544944,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060822590844253
v25w_n8,600,curated,altblock_b24_s4242,17,22,-0.003615525215460263,0.003384474784539737,False,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277
v25w_n8,600,curated,altblock_b24_s4242,17,25,-0.0038771822756887395,0.0031228177243112607,False,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879
v25w_n8,600,curated,altblock_b24_s4242,29,18,-0.003251045010317277,0.003748954989682723,False,0.0056353268937137544,0.00340943238544944,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060822590844253
v25w_n8,600,curated,altblock_b24_s4242,29,22,-0.0035699906083235034,0.0034300093916764967,False,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277
v25w_n8,600,curated,altblock_b24_s4242,29,25,-0.003840370360946832,0.003159629639053168,False,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879
v25w_n8,600,curated,altseed_b20_s5252,5,18,-0.004319656825194407,0.0026803431748055936,False,0.0056353268937137544,0.00340943238544944,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060822590844253
v25w_n8,600,curated,altseed_b20_s5252,5,22,-0.004616933014953362,0.0023830669850466385,False,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277
v25w_n8,600,curated,altseed_b20_s5252,5,25,-0.0047744311330550895,0.0022255688669449106,False,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879
v25w_n8,600,curated,altseed_b20_s5252,17,18,-0.003925366466431568,0.003074633533568432,False,0.0056353268937137544,0.00340943238544944,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060822590844253
v25w_n8,600,curated,altseed_b20_s5252,17,22,-0.004244969990907649,0.0027550300090923513,False,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277
v25w_n8,600,curated,altseed_b20_s5252,17,25,-0.004507083213130969,0.0024929167868690313,False,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879
v25w_n8,600,curated,altseed_b20_s5252,29,18,-0.00463946793347379,0.00236053206652621,False,0.0056353268937137544,0.00340943238544944,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060822590844253
v25w_n8,600,curated,altseed_b20_s5252,29,22,-0.004984290074176378,0.002015709925823622,False,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277
v25w_n8,600,curated,altseed_b20_s5252,29,25,-0.005219929339122353,0.0017800706608776468,False,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879
v25w_n8,600,curated,baseline_b20_s4242,5,18,-0.004072203936382096,0.0029277960636179042,False,0.0056353268937137544,0.00340943238544944,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060822590844253
v25w_n8,600,curated,baseline_b20_s4242,5,22,-0.004350424485101939,0.002649575514898061,False,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277
v25w_n8,600,curated,baseline_b20_s4242,5,25,-0.00459539349664651,0.00240460650335349,False,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879
v25w_n8,600,curated,baseline_b20_s4242,17,18,-0.0036599028750118217,0.0033400971249881784,False,0.0056353268937137544,0.00340943238544944,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060822590844253
v25w_n8,600,curated,baseline_b20_s4242,17,22,-0.004002423390456661,0.0029975766095433395,False,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277
v25w_n8,600,curated,baseline_b20_s4242,17,25,-0.0043973467666130524,0.0026026532333869477,False,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879
v25w_n8,600,curated,baseline_b20_s4242,29,18,-0.004360390786274753,0.002639609213725247,False,0.0056353268937137544,0.00340943238544944,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060822590844253
v25w_n8,600,curated,baseline_b20_s4242,29,22,-0.00467847179578657,0.00232152820421343,False,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277
v25w_n8,600,curated,baseline_b20_s4242,29,25,-0.00508273734773082,0.00191726265226918,False,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879
v25w_n8,600,curated,deepcheck_b12_s8080,5,18,-0.005043504485102657,0.0019564955148973434,False,0.0056353268937137544,0.00340943238544944,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0060822590844253
v25w_n8,600,curated,deepcheck_b12_s8080,5,22,-0.005451653306938231,0.0015483466930617694,False,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277
v25w_n8,600,curated,deepcheck_b12_s8080,5,25,-0.005747892490385709,0.0012521075096142914,False,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879
