variant,scenario,scenario_group,pack_seed,path_bootstrap_block_size,path_bootstrap_seed,seed,transaction_cost_bps,mean_test_relative,robust_min_test_relative,mean_turnover,mean_executed_step_rate,worst_daily_relative_return,worst_relative_drawdown,path_bootstrap_robust_min_p05
v25r_n8,pack2602_b16_p10695,random_shortblock,2602,16,10695,5,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.005627570653056113
v25r_n8,pack2602_b16_p10695,random_shortblock,2602,16,10695,17,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.005915890019779163
v25r_n8,pack2602_b17_p5680,random_shortblock,2602,17,5680,5,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.00483889203153614
v25r_n8,pack2602_b17_p5680,random_shortblock,2602,17,5680,17,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.004801244212309874
v25r_n8,pack2602_b18_p10204,random_shortblock,2602,18,10204,5,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.005599787468870488
v25r_n8,pack2602_b18_p10204,random_shortblock,2602,18,10204,17,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.00500350452581419
v25r_n8,pack2603_b10_p12709,random_shortblock,2603,10,12709,5,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.006441582419785946
v25r_n8,pack2603_b10_p12709,random_shortblock,2603,10,12709,17,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.00513794197111741
v25r_n8,pack2603_b10_p8441,random_shortblock,2603,10,8441,5,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.006759974348736863
v25r_n8,pack2603_b10_p8441,random_shortblock,2603,10,8441,17,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.007605308125175558
v25r_n8,pack2603_b13_p10039,random_shortblock,2603,13,10039,5,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.006662758161795385
v25r_n8,pack2603_b13_p10039,random_shortblock,2603,13,10039,17,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.0057493778165557344
v25r_n8,pack2603_b13_p5521,random_shortblock,2603,13,5521,5,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.005613906502667493
v25r_n8,pack2603_b13_p5521,random_shortblock,2603,13,5521,17,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.0065338305009790204
v25r_n8,pack2603_b14_p11396,random_shortblock,2603,14,11396,5,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.005344973452299989
v25r_n8,pack2603_b14_p11396,random_shortblock,2603,14,11396,17,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.005422548764361456
v25r_n8,pack2603_b14_p9927,random_shortblock,2603,14,9927,5,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.0043381741652003866
v25r_n8,pack2603_b14_p9927,random_shortblock,2603,14,9927,17,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.005662221167910658
v25r_n8,pack2603_b15_p10607,random_shortblock,2603,15,10607,5,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.005882485296281925
