variant,scenario,envelope,path_bootstrap_block_size,path_bootstrap_seed,seed,transaction_cost_bps,mean_test_relative,robust_min_test_relative,mean_turnover,mean_executed_step_rate,worst_daily_relative_return,worst_relative_drawdown,path_bootstrap_robust_min_p05
v25r_n8,random_train_b16_p9575,random_train,16,9575,29,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.005231559779215261
v25r_n8,random_train_b17_p10727,random_train,17,10727,5,22,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277,-0.0050452628546715835
v25r_n8,random_train_b17_p10727,random_train,17,10727,11,22,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277,-0.004774173934825349
v25r_n8,random_train_b17_p10727,random_train,17,10727,17,22,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277,-0.005740909189364668
v25r_n8,random_train_b17_p10727,random_train,17,10727,29,22,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277,-0.0062945866881997875
v25r_n8,random_train_b17_p10727,random_train,17,10727,5,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.005287600069348841
v25r_n8,random_train_b17_p10727,random_train,17,10727,11,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.005048285275717823
v25r_n8,random_train_b17_p10727,random_train,17,10727,17,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.005959701180259852
v25r_n8,random_train_b17_p10727,random_train,17,10727,29,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.006718116315313721
v25r_n8,altblock_b24_s4242,sentinel,24,4242,5,22,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277,-0.0033098565951188374
v25r_n8,altblock_b24_s4242,sentinel,24,4242,11,22,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277,-0.0038893701597846383
v25r_n8,altblock_b24_s4242,sentinel,24,4242,17,22,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277,-0.003303879281709743
v25r_n8,altblock_b24_s4242,sentinel,24,4242,29,22,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277,-0.0038669791786798634
v25r_n8,altblock_b24_s4242,sentinel,24,4242,5,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.003532627576329661
v25r_n8,altblock_b24_s4242,sentinel,24,4242,11,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.004234316089636652
v25r_n8,altblock_b24_s4242,sentinel,24,4242,17,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.0035680731330058834
v25r_n8,altblock_b24_s4242,sentinel,24,4242,29,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.004331708687348245
v25r_n8,baseline_b20_s4242,sentinel,20,4242,5,22,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277,-0.004799873701138352
v25r_n8,baseline_b20_s4242,sentinel,20,4242,11,22,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277,-0.005825112738163945
v25r_n8,baseline_b20_s4242,sentinel,20,4242,17,22,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277,-0.004314821232002247
v25r_n8,baseline_b20_s4242,sentinel,20,4242,29,22,0.005384220548819973,0.003339607721937199,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.0061258173939277,-0.0041719914644903315
v25r_n8,baseline_b20_s4242,sentinel,20,4242,5,25,0.005195956249227418,0.003287241307322386,0.0006714764520370678,0.024086021505376344,-0.0018900190598922,0.00615848550879,-0.005110057539455087
