variant,envelope,scenario,seed,transaction_cost_bps,path_bootstrap_reps,runtime_sec,path_bootstrap_robust_min_p05,case_slack,breach,mean_test_relative
v25v_n8,random_train,random_train_b10_p9889,29,25,600,1.652334166050423,-0.005891860221039558,0.0011081397789604423,False,0.005195956249227418
v25v_n8,random_train,random_train_b11_p6801,5,22,600,1.749233666982036,-0.005202778267684283,0.0017972217323157175,False,0.005384220548819973
v25v_n8,random_train,random_train_b11_p6801,5,25,600,1.6078373329946771,-0.005594479087830695,0.0014055209121693049,False,0.005195956249227418
v25v_n8,random_train,random_train_b11_p6801,17,22,600,1.5813516670023091,-0.005873259686836723,0.0011267403131632768,False,0.005384220548819973
v25v_n8,random_train,random_train_b11_p6801,17,25,600,1.618820916977711,-0.0059844394698664646,0.0010155605301335356,False,0.005195956249227418
v25v_n8,random_train,random_train_b11_p6801,29,22,600,1.5534682500292547,-0.005522061089514418,0.0014779389104855817,False,0.005384220548819973
v25v_n8,random_train,random_train_b11_p6801,29,25,600,1.6540760420029983,-0.005815331327666589,0.001184668672333411,False,0.005195956249227418
v25v_n8,random_train,random_train_b12_p8403,5,22,600,1.5429476669523865,-0.005004875891992428,0.0019951241080075725,False,0.005384220548819973
v25v_n8,random_train,random_train_b12_p8403,5,25,600,1.5593057919759303,-0.005177602033570733,0.0018223979664292672,False,0.005195956249227418
v25v_n8,random_train,random_train_b12_p8403,17,22,600,1.5374677919899113,-0.006701634734445894,0.00029836526555410657,False,0.005384220548819973
v25v_n8,random_train,random_train_b12_p8403,17,25,600,1.5740943750133738,-0.0069216394528891605,7.836054711083968e-05,False,0.005195956249227418
v25v_n8,random_train,random_train_b12_p8403,29,22,600,1.5330342500237748,-0.004960384671954743,0.0020396153280452575,False,0.005384220548819973
v25v_n8,random_train,random_train_b12_p8403,29,25,600,1.5379602080211043,-0.005283348607110721,0.0017166513928892789,False,0.005195956249227418
v25v_n8,random_train,random_train_b13_p11419,5,22,600,1.5400166670442559,-0.005138959985621788,0.0018610400143782117,False,0.005384220548819973
v25v_n8,random_train,random_train_b13_p11419,5,25,600,1.5474620410241187,-0.005388403215252885,0.0016115967847471152,False,0.005195956249227418
v25v_n8,random_train,random_train_b13_p11419,17,22,600,1.5525134170311503,-0.0058406997760656445,0.0011593002239343557,False,0.005384220548819973
v25v_n8,random_train,random_train_b13_p11419,17,25,600,1.7975697080255486,-0.006030275612837087,0.0009697243871629128,False,0.005195956249227418
v25v_n8,random_train,random_train_b13_p11419,29,22,600,1.6530805829679593,-0.005620135729915554,0.0013798642700844459,False,0.005384220548819973
v25v_n8,random_train,random_train_b13_p11419,29,25,600,1.9772076670196839,-0.005892313588421683,0.0011076864115783175,False,0.005195956249227418
v25v_n8,random_train,random_train_b13_p14175,5,22,600,1.5764317080029286,-0.005199579433248641,0.001800420566751359,False,0.005384220548819973
v25v_n8,random_train,random_train_b13_p14175,5,25,600,1.5688722080085427,-0.005466283147348211,0.0015337168526517895,False,0.005195956249227418
v25v_n8,random_train,random_train_b13_p14175,17,22,600,1.563346916984301,-0.005583343057857237,0.0014166569421427628,False,0.005384220548819973
v25v_n8,random_train,random_train_b13_p14175,17,25,600,1.5515070830006152,-0.005774726941618974,0.0012252730583810264,False,0.005195956249227418
v25v_n8,random_train,random_train_b13_p14175,29,22,600,1.5802046249737032,-0.006521657212080645,0.0004783427879193553,False,0.005384220548819973
v25v_n8,random_train,random_train_b13_p14175,29,25,600,1.6066536249709316,-0.00664031909459537,0.00035968090540463,False,0.005195956249227418
v25v_n8,random_train,random_train_b13_p14394,5,22,600,2.0463031249819323,-0.0053196638549032945,0.0016803361450967056,False,0.005384220548819973
v25v_n8,random_train,random_train_b13_p14394,5,25,600,1.659819167049136,-0.0056456084626665395,0.0013543915373334606,False,0.005195956249227418
v25v_n8,random_train,random_train_b13_p14394,17,22,600,1.5420203750254586,-0.005333150389307817,0.0016668496106921832,False,0.005384220548819973
v25v_n8,random_train,random_train_b13_p14394,17,25,600,1.564078084018547,-0.005573627063616898,0.0014263729363831025,False,0.005195956249227418
v25v_n8,random_train,random_train_b13_p14394,29,22,600,1.5957120420061983,-0.005828292146410041,0.0011717078535899593,False,0.005384220548819973
v25v_n8,random_train,random_train_b13_p14394,29,25,600,1.547860250051599,-0.0061805564030378065,0.0008194435969621936,False,0.005195956249227418
v25v_n8,random_train,random_train_b16_p10914,5,22,600,1.629333792021498,-0.005857394685703654,0.0011426053142963464,False,0.005384220548819973
v25v_n8,random_train,random_train_b16_p10914,5,25,600,1.617110249993857,-0.006080893989663943,0.0009191060103360569,False,0.005195956249227418
v25v_n8,random_train,random_train_b16_p10914,17,22,600,1.5569831670145504,-0.0052839698006240995,0.0017160301993759007,False,0.005384220548819973
v25v_n8,random_train,random_train_b16_p10914,17,25,600,1.514086999988649,-0.005754507528850483,0.001245492471149517,False,0.005195956249227418
v25v_n8,random_train,random_train_b16_p10914,29,22,600,1.5199456660193391,-0.005525301222080514,0.0014746987779194858,False,0.005384220548819973
v25v_n8,random_train,random_train_b16_p10914,29,25,600,1.5127381249913014,-0.005843296743392573,0.0011567032566074274,False,0.005195956249227418
v25v_n8,random_train,random_train_b16_p9682,5,22,600,1.513228042051196,-0.005299391273592585,0.0017006087264074153,False,0.005384220548819973
v25v_n8,random_train,random_train_b16_p9682,5,25,600,1.5422382919932716,-0.005565102461953241,0.0014348975380467591,False,0.005195956249227418
v25v_n8,random_train,random_train_b16_p9682,17,22,600,1.518157875048928,-0.0048358602411988855,0.0021641397588011146,False,0.005384220548819973
v25v_n8,random_train,random_train_b16_p9682,17,25,600,1.5272025829763152,-0.004930226786689634,0.0020697732133103663,False,0.005195956249227418
v25v_n8,random_train,random_train_b16_p9682,29,22,600,1.739230083010625,-0.005625368741470527,0.0013746312585294733,False,0.005384220548819973
